Description,Quantity,Layer
"ASSUME 2"" DEPTH PEBBLES/ROCKS SURFACING",A = 197.54 sf,LANDSCAPE & HARDSCAPE
"ASSUME 2"" DEPTH PEBBLES/ROCKS SURFACING",A = 54.61 sf,LANDSCAPE & HARDSCAPE
"ASSUME 2"" DEPTH PEBBLES/ROCKS SURFACING",A = 42.67 sf,LANDSCAPE & HARDSCAPE
"ASSUME 4"" DEPTH ARTIFICIAL TURF",A = 303.59 sf,LANDSCAPE & HARDSCAPE
"ASSUME 4"" DEPTH ARTIFICIAL TURF",A = 147.38 sf,LANDSCAPE & HARDSCAPE
"ASSUME 4"" DEPTH ARTIFICIAL TURF",A = 193.84 sf,LANDSCAPE & HARDSCAPE
"ASSUME 4"" DEPTH ARTIFICIAL TURF",A = 98.08 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE DRIVEWAY/WALKWAY",A = 347.63 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE DRIVEWAY/WALKWAY",A = 772.95 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE DRIVEWAY/WALKWAY",A = 207.78 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 10 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 10 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 10 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 10 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 10 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 10 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 10 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 10 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 10 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 10 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 10 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 10 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 10 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 10 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 9.32 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 8 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 8 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 8 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 8 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 5.95 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
"ASSUME 6"" DEPTH CONCRETE PAVERS",A = 4 sf,LANDSCAPE & HARDSCAPE
DUPLEX OUTLET,6,LANDSCAPE & HARDSCAPE
EVENT SPACE/POOL SPACE/DOG POOP ZONE,A = 659.64 sf,LANDSCAPE & HARDSCAPE
FIRE PIT AREA,A = 7.05 sf,LANDSCAPE & HARDSCAPE
PERGOLA AREA,A = 181.52 sf,LANDSCAPE & HARDSCAPE
SPOT LIGHT,17,LANDSCAPE & HARDSCAPE
FINE GRADING ASSUME 2 INCH THICKNESS,A = 303.59 sf V = 1.87 cu yd,FINE GRADING 
FINE GRADING ASSUME 2 INCH THICKNESS,A = 147.38 sf V = 0.91 cu yd,FINE GRADING 
FINE GRADING ASSUME 2 INCH THICKNESS,A = 193.84 sf V = 1.2 cu yd,FINE GRADING 
FINE GRADING ASSUME 2 INCH THICKNESS,A = 98.08 sf V = 0.61 cu yd,FINE GRADING 
FINE GRADING ASSUME 2 INCH THICKNESS,A = 197.54 sf V = 1.22 cu yd,FINE GRADING 
FINE GRADING ASSUME 2 INCH THICKNESS,A = 54.61 sf V = 0.34 cu yd,FINE GRADING 
FINE GRADING ASSUME 2 INCH THICKNESS,A = 42.67 sf V = 0.26 cu yd,FINE GRADING 
FINE GRADING ASSUME 2 INCH THICKNESS,A = 347.63 sf V = 2.15 cu yd,FINE GRADING 
FINE GRADING ASSUME 2 INCH THICKNESS,A = 772.95 sf V = 4.77 cu yd,FINE GRADING 
FINE GRADING ASSUME 2 INCH THICKNESS,A = 207.78 sf V = 1.28 cu yd,FINE GRADING 
FINE GRADING ASSUME 2 INCH THICKNESS,A = 659.64 sf V = 4.07 cu yd,FINE GRADING 
ROUGH GRADING ASSUME 6 INCH THICKNESS,A = 303.59 sf V = 5.62 cu yd,ROUGH GRADING 
ROUGH GRADING ASSUME 6 INCH THICKNESS,A = 147.38 sf V = 2.73 cu yd,ROUGH GRADING 
ROUGH GRADING ASSUME 6 INCH THICKNESS,A = 193.84 sf V = 3.59 cu yd,ROUGH GRADING 
ROUGH GRADING ASSUME 6 INCH THICKNESS,A = 98.08 sf V = 1.82 cu yd,ROUGH GRADING 
ROUGH GRADING ASSUME 6 INCH THICKNESS,A = 197.54 sf V = 3.66 cu yd,ROUGH GRADING 
ROUGH GRADING ASSUME 6 INCH THICKNESS,A = 54.61 sf V = 1.01 cu yd,ROUGH GRADING 
ROUGH GRADING ASSUME 6 INCH THICKNESS,A = 42.67 sf V = 0.79 cu yd,ROUGH GRADING 
ROUGH GRADING ASSUME 6 INCH THICKNESS,A = 347.63 sf V = 6.44 cu yd,ROUGH GRADING 
ROUGH GRADING ASSUME 6 INCH THICKNESS,A = 772.95 sf V = 14.31 cu yd,ROUGH GRADING 
ROUGH GRADING ASSUME 6 INCH THICKNESS,A = 207.78 sf V = 3.85 cu yd,ROUGH GRADING 
ROUGH GRADING ASSUME 6 INCH THICKNESS,A = 659.64 sf V = 12.22 cu yd,ROUGH GRADING 